ts,provider,model,latency_ms,ok,remaining_requests,remaining_tokens,limit_requests,limit_tokens
1787468461,groq,openai/gpt-oss-120b,105,0,,,,
1787468463,groq,openai/gpt-oss-120b,116,0,,,,
1787468466,groq,openai/gpt-oss-120b,113,0,,,,
1787468468,groq,openai/gpt-oss-120b,114,0,,,,
1787468470,groq,openai/gpt-oss-120b,103,0,,,,
1787468472,groq,openai/gpt-oss-120b,114,0,,,,
1787468474,groq,openai/gpt-oss-120b,104,0,,,,
1787468476,groq,openai/gpt-oss-120b,111,0,,,,
1787468478,groq,openai/gpt-oss-120b,108,0,,,,
1787468480,groq,openai/gpt-oss-120b,102,0,,,,
1787468482,groq,qwen/qwen3.6-27b,111,0,,,,
1787468485,groq,qwen/qwen3.6-27b,123,0,,,,
1787468487,groq,qwen/qwen3.6-27b,112,0,,,,
1787468489,groq,qwen/qwen3.6-27b,103,0,,,,
1787468491,groq,qwen/qwen3.6-27b,96,0,,,,
1787468493,groq,qwen/qwen3.6-27b,102,0,,,,
1787468495,groq,qwen/qwen3.6-27b,99,0,,,,
1787468497,groq,qwen/qwen3.6-27b,114,0,,,,
1787468499,groq,qwen/qwen3.6-27b,103,0,,,,
1787468501,groq,qwen/qwen3.6-27b,101,0,,,,
1787468564,groq,openai/gpt-oss-120b,561,1,998,7774,1000,8000
1787468567,groq,openai/gpt-oss-120b,373,1,997,7761,1000,8000
1787468569,groq,openai/gpt-oss-120b,449,1,996,7761,1000,8000
1787468572,groq,openai/gpt-oss-120b,308,1,995,7703,1000,8000
1787468574,groq,openai/gpt-oss-120b,330,1,994,6611,1000,8000
1787468577,groq,openai/gpt-oss-120b,451,1,993,6595,1000,8000
1787468579,groq,openai/gpt-oss-120b,688,1,992,6690,1000,8000
1787468582,groq,openai/gpt-oss-120b,492,1,991,6717,1000,8000
1787468584,groq,openai/gpt-oss-120b,467,1,990,6773,1000,8000
1787468587,groq,openai/gpt-oss-120b,329,1,989,6825,1000,8000
1787468590,groq,qwen/qwen3.6-27b,1059,1,999,6667,1000,8000
1787468593,groq,qwen/qwen3.6-27b,1513,1,998,5448,1000,8000
1787468598,groq,qwen/qwen3.6-27b,2636,1,997,3907,1000,8000
1787468603,groq,qwen/qwen3.6-27b,2673,1,996,2513,1000,8000
1787468606,groq,qwen/qwen3.6-27b,823,1,995,1278,1000,8000
1787468610,groq,qwen/qwen3.6-27b,2634,1,994,1191,1000,8000
1787468613,groq,qwen/qwen3.6-27b,985,1,993,478,1000,8000
1787468617,groq,qwen/qwen3.6-27b,1613,1,992,346,1000,8000
1787468619,groq,qwen/qwen3.6-27b,118,0,,,,
1787468623,groq,qwen/qwen3.6-27b,1883,1,991,278,1000,8000
